,,,"Stunting prevalence in children aged < 5 years (%)","Stunting prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)"
"Country","Year","Data Source","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years"
"Albania","2017","DHS","11.4 [9.4-13.9]","11.1 [8.7-14.2]","1.0 [0.6-1.5]","2.3 [1.3-4.0]","1.3 [0.8-2.1]","2.0 [1.2-3.1]","0.4 [0.2-0.9]","0.7 [0.4-1.5]","14.2 [11.9-16.8]","19.7 [16.6-23.2]"
"Albania","2008","DHS","20.1 [16.9-23.6]","29.6 [24.8-34.8]","5.7 [4.2-7.6]","7.4 [5.3-10.4]","7.8 [5.4-11.2]","12.9 [10.2-16.3]","5.4 [3.3-8.8]","7.0 [4.8-10.1]","22.6 [19.1-26.4]","24.5 [19.5-30.3]"
"Albania","2005","MICS","26.7 [22.9-30.8]","26.7 [22.2-31.8]","5.9 [4.2-8.3]","8.0 [5.3-11.9]","7.1 [5.1-9.8]","7.7 [5.2-11.4]","4.2 [2.8-6.2]","2.8 [1.4-5.3]","26.3 [22.2-30.8]","22.2 [18.2-26.8]"
"Algeria","2018","MICS","10.1 [9.2-11.2]","9.3 [8.1-10.6]","2.1 [1.8-2.6]","3.5 [2.8-4.3]","1.6 [1.3-2.0]","4.3 [3.6-5.2]","0.6 [0.4-0.8]","2.4 [1.9-3.0]","11.2 [10.2-12.3]","15.1 [13.9-16.5]"
"Algeria","2012","MICS","11.9 [10.7-13.2]","11.4 [10.3-12.5]","2.8 [2.3-3.3]","3.4 [2.9-4.0]","2.8 [2.3-3.3]","5.8 [5.1-6.7]","0.8 [0.6-1.1]","2.1 [1.7-2.6]","9.8 [8.8-10.9]","15.8 [14.5-17.2]"
"Angola","2015","DHS","41.2 [38.9-43.5]","32.7 [30.2-35.2]","19.2 [17.5-21.0]","18.8 [17.1-20.7]","3.6 [3.0-4.5]","6.7 [5.7-7.9]","0.6 [0.4-0.9]","1.6 [1.2-2.3]","2.4 [1.8-3.2]","4.8 [3.7-6.0]"
"Armenia","2015","DHS","7.1 [5.5-9.0]","12.9 [10.2-16.2]","2.4 [1.5-3.9]","3.0 [1.9-4.8]","5.3 [3.8-7.3]","3.2 [2.1-4.8]","2.2 [1.4-3.5]","1.0 [0.5-2.3]","12.9 [10.4-15.8]","14.9 [11.9-18.4]"
"Armenia","2010","DHS","23.1 [19.1-27.5]","18.0 [14.8-21.7]","4.8 [3.2-7.1]","5.9 [4.0-8.6]","3.9 [2.5-6.0]","4.4 [2.9-6.7]","1.9 [1.0-3.7]","2.1 [1.0-4.0]","17.6 [14.5-21.2]","15.0 [12.1-18.5]"
"Armenia","2005","DHS","16.9 [12.7-22.2]","19.2 [14.4-25.1]","3.3 [2.2-4.9]","5.4 [3.3-8.7]","4.2 [2.7-6.6]","6.9 [4.3-10.8]","2.4 [1.2-4.4]","3.0 [1.4-6.1]","11.2 [8.7-14.3]","11.6 [8.9-15.0]"
"Armenia","2000","DHS","20.2 [16.9-23.9]","12.6 [9.8-16.1]","2.1 [1.3-3.3]","3.3 [2.0-5.4]","1.4 [0.6-3.2]","4.5 [2.9-6.8]","0.3 [0.1-1.1]","1.5 [0.8-3.0]","14.5 [11.8-17.7]","17.6 [14.5-21.1]"
"Azerbaijan","2006","DHS","33.3 [29.2-37.7]","18.1 [15.1-21.5]","9.0 [6.3-12.8]","7.7 [5.9-9.9]","3.6 [2.5-5.2]","10.8 [8.5-13.6]","1.4 [0.7-2.9]","3.2 [1.9-5.4]","16.8 [14.1-19.9]","10.2 [8.0-12.9]"
"Bangladesh","2019","MICS","30.4 [29.4-31.4]","24.3 [23.2-25.4]","24.8 [24.0-25.7]","19.3 [18.3-20.2]","9.5 [8.9-10.1]","10.4 [9.7-11.2]","1.9 [1.6-2.2]","2.8 [2.4-3.2]","1.9 [1.6-2.3]","3.2 [2.8-3.7]"
"Bangladesh","2014","DHS","41.5 [39.2-43.9]","28.6 [26.4-30.9]","37.1 [34.9-39.4]","26.8 [24.6-29.0]","12.5 [11.4-13.7]","17.1 [14.8-19.6]","2.1 [1.7-2.8]","4.8 [3.7-6.1]","1.2 [0.9-1.7]","2.1 [1.3-3.3]"
"Bangladesh","2012","MICS","47.3 [46.0-48.6]","33.8 [32.5-35.2]","35.5 [34.3-36.8]","26.4 [25.1-27.7]","8.6 [8.0-9.2]","11.4 [10.5-12.4]","1.2 [1.0-1.5]","2.3 [1.9-2.7]","1.3 [1.1-1.7]","2.0 [1.6-2.5]"
"Bangladesh","2011","DHS","45.3 [43.3-47.4]","34.8 [32.7-36.9]","41.9 [40.0-43.8]","28.5 [26.4-30.7]","15.9 [14.7-17.1]","15.3 [13.7-17.1]","3.7 [3.0-4.5]","4.9 [4.0-6.0]","1.3 [0.9-1.7]","2.8 [2.2-3.6]"
"Bangladesh","2007","DHS","50.9 [48.6-53.3]","32.1 [29.8-34.5]","46.1 [44.0-48.1]","34.4 [31.9-37.0]","15.5 [14.0-17.2]","20.3 [18.3-22.4]","2.0 [1.5-2.7]","4.2 [3.3-5.3]","1.0 [0.7-1.5]","1.2 [0.7-1.9]"
"Bangladesh","2004","DHS","57.0 [54.7-59.2]","40.7 [38.1-43.3]","45.4 [43.1-47.8]","38.8 [36.4-41.2]","12.4 [11.4-13.4]","18.2 [16.4-20.2]","2.4 [1.9-3.1]","5.2 [4.2-6.5]","0.4 [0.2-0.8]","1.7 [1.2-2.4]"
